order_id,settlement_id,confidence,reason,llm_explanation
ORD1041,STL1033,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1024,STL1021,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1017,STL1014,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1021,STL1018,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1059,STL1044,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1060,STL1045,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1029,STL1024,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1012,STL1010,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1008,STL1007,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1003,STL1003,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1007,STL1006,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1019,STL1016,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1039,STL1031,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1056,STL1043,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1033,STL1026,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1036,STL1029,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1043,STL1035,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1053,STL1041,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1011,STL1009,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1013,STL1011,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1040,STL1032,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1016,STL1013,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1048,STL1037,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1062,STL1046,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1052,STL1040,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1020,STL1017,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1023,STL1020,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1001,STL1001,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1031,STL1025,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1037,STL1030,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
